"1","Agrarisch inspecteur","R",,,"Agricultural inspector",
"2","Agrarisch technicus","R",,,"Agricultural engineer",
"3","Luchtvaartechneut","R",,,"Aviation technician",
"4","Luchtvaartpiloot","R",,,"Pilot (commercial)",
"5","Ambulancepersoneel","R",,,"Ambulance officer / Paramedic",
"6","Dierenfokker","R",,,"Animal breeder",
"7","Medewerker dierenambulance","R",,,"Animal rescue worker",
"8","Dierentrainer","R",,,"Animal trainer",
"9","Topsporter","R",,,"Professional athlete",
"10","Audio- en visueel technicus","R",,,"Audio visual technician",
"11","Automonteur","R",,,"Mechanic (automobiles)",
"12","Luchtvaart inspecteur","R",,,"Aviation inspector",
"13","Hotelbediende","R",,,"Bellhop",
"14","Gerechtsdeurwaarder","R",,,"Bailiff (enforcement agent)",
"15","Bakker","R",,,"Baker / Pastry Chef",
"16","Kapper","R",,,"Hairdresser / Barber",
"17","Fietsenmaker","R",,,"Bicycle mechanic / repairer",
"18","Bioloog","R",,,"Biologist",
"19","Loodgieter","R",,,"Plumber",
"20","Metselaars","R",,,"Mason / Bricklayer",
"21","Slotenmaker","R",,,"Locksmith",
"22","Truckmonteur","R",,,"Truck mechanic",
"23","Buschauffeur","R",,,"Bus driver",
"24","Slager","R",,,"Butcher",
"25","Meubelmaker","R",,,"Joiner",
"26","Camera reparateur","R",,,"Camera repair technician",
"27","Cameraman","R",,,"Cameraman",
"28","Cardioloog","R",,,"Cardiologist",
"29","Stoffeerder","R",,,"Furnisher / Upholsterer",
"30","Cartoonist","R",,,"Cartoonist",
"31","Metselaar","R",,,"Mason / Bricklayer",
"32","Scheikundige","R",,,"Chemist",
"33","Ingenieur","R",,,"Engineer",
"34","Civiel ingenieur","R",,,"Civil engineer",
"35","Autopoetser","R",,,"Automotive polisher",
"36","Schoonmaker","R",,,"Cleaner",
"37","Schilder","R",,,"Painter",
"38","Taxichauffeur","R",,,"Taxi driver",
"39","Computer specialist","R",,,"Computer specialist",
"40","Computer reparateur","R",,,"Computer repair technician",
"41","Bouwinspecteur","R",,,"Construction and building inspector",
"42","Timmerman","R",,,"Carpenter",
"43","Bouwvakker","R",,,"Construction worker",
"44","Mijnwerker","R",,,"Miner / Mine-worker",
"45","Chefkok","R",,,"Chef cook",
"46","Gevangenisbewaarder","R",,,"Jailer / Prison warden",
"47","Horeca medewerker","R",,,"Catering assistant",
"48","Koerier","R",,,"Courier",
"49","Kraanmachinist","R",,,"Crane operator",
"50","Brandweerman","R",,,"Fireman",
"51","Werktuigbouwkundige","R",,,"Mechanical engineer",
"52","Tandtechnicus","R",,,"Dental technician",
"53","Landbouwer","R",,,"Farmer / Agriculturist",
"54","Dierenarts","R",,,"Veterinarian",
"55","Boswachter","R",,,"Forester",
"56","Elektricien","R",,,"Electrician",
"57","Bloemist","R",,,"Floral designer",
"58","Software technicus","R",,,"Software technician / engineer",
"59","Tandartsassistent","R",,,"Dental assistant",
"60","Elektrotechneut","R",,,"Electrical engineer",
"61","Ruimtevaart fysioloog","R",,,"Aerospace physiologist",
"62","Duiker","R",,,"Commercial diver",
"63","Liftreparateur","R",,,"Elevator mechanic / technician",
"64","Machinist","R",,,"Machinist",
"65","Explosievenexpert","R",,,"Explosives expert",
"66","Technisch tekenaar","R",,,"Draftsman",
"67","Kledingmaker","R",,,"Tailor",
"68","Juwelier","R",,,"Jeweler",
"69","Landarbeider","R",,,"Farmworker ",
"70","Strandwacht / Badmeester / Lifeguard","R",,,"Lifeguard",
"71","Visser","R",,,"Fisherman",
"72","Parketteur","R",,,"Parquet floor layer",
"73","Voedingsdeskundige","R",,,"Nutritionist",
"74","Dakdekker","R",,,"Roofer",
"75","Modelmaker (hout / metaal / plastic)","R",,,"Model maker (wood / metal / plastic)",
"76","Douanier","R",,,"Customs officer",
"77","Motormonteur","R",,,"Motorcycle mechanic",
"78","Geoloog","R",,,"Geologist",
"79","Glasblazer","R",,,"Glass blower (molder, bender and finisher)",
"80","Bewaker","R",,,"Security guard",
"81","Politieagent","R",,,"Police patrol officer",
"82","Productiemedewerker","R",,,"Production assistant",
"83","Wegwerker (asfalteerder)","R",,,"Road worker",
"84","Jager","R",,,"Hunter / Trapper",
"85","ConciÃ«rge","R",,,"Concierge",
"86","Etser / Graveur","R",,,"Etcher / Engraver",
"87","Magazijnmedewerker","R",,,"Stock clerk (warehouse / stockroom / storage yard)",
"88","Radiologisch technicus","R",,,"Radiologic technician",
"89","Airco- en verwarmingsinstallateur","R",,,"Heating and air conditioning mechanic / installer",
"90","Lasser","R",,,"Welder",
"91","Huishoudelijke hulp","R",,,"Housekeeper",
"92","Manicure en pedicure","R",,,"Manicurist and pedicurist",
"93","Metaalbewerker","R",,,"Sheet metal worker",
"94","Molenbouwer","R",,,"Millwright",
"95","Houtbewerker","R",,,"Carpenter",
"96","Scheepsreparateur","R",,,"Ship repair worker",
"97","Monteur motorboten","R",,,"Motorboat mechanic",
"98","Afwasser","R",,,"Dishwasher",
"99","Kweker","R",,,"Grower (Greenhouse)",
"100","Oogheelkundige","R",,,"Ophthalmic Laboratory Technicians",
"101","Kaakchirurg","R",,,"Oral and maxillofacial surgeons",
"102","Deskundig asbest verwijderaar","R",,,"Hazardous materials removal worker",
"103","Emballeur","R",,,"Embalmer",
"104","Voedseltechnoloog","R",,,"Food science technicians",
"105","Behanger","R",,,"Paperhanger",
"106","Parkeerwachter","R",,,"Parking enforcement worker",
"107","Modelmakers","R",,,"Patternmaker (wood)",
"108","Stratenmaker","R",,,"Paving, surfacing, and tamping equipment operator",
