"1";"0";"title1";"<p>Beroepskeuzetest rapportage</p>
";"1";;;"<p>Careertest report</p>
";
"2";"0";"date";"Datum
";"2";;;"Date
";
"3";"0";"title2";"<p>Gegevens deelnemer</p>
";"3";;;"<p>Participant information</p>
";
"4";"0";"general";"<p>Algemeen</p>
";"4";;;"General";
"5";"0";"name";"Naam
";"5";;;"Name
";
"6";"0";"age";"Leeftijd
";"6";;;"Age
";
"7";"0";"sex";"Geslacht
";"7";;;"Sex/Gender
";
"8";"0";"purdate";"Afnamedatum
";"8";;;"Test date
";
"9";"0";"title3";"<p>Inleiding</p>
";"9";;;"<p>Introduction</p>
";
"10";"0";"text1";"<p>In deze rapportage wordt door middel van de door jou gemaakte beroepskeuzetest een analyse gemaakt van je persoonlijkheidsprofiel en de beroepen die daarbij passen.<br />
<br />
De beroepskeuzetest van www.DeBeroepskeuzetest.nl is gebaseerd op de RIASOC theorie van Dr. John Holland. Zijn gedachtegoed ligt aan de basis van vele beroepskeuzetesten die wereldwijd worden gebruikt. Deze theorie geldt dan ook als de meest invloedrijke beroepskeuzetheorie, waarop meer dan 500 wetenschappelijke studies zijn gebaseerd.<br />
<br />
De RIASOC is gebaseerd op zes verschillende persoonlijkheidskenmerken, namelijk:</p>
";"10";;;"<p>In this report an analysis is made of your personality profile and the professions that will fit this profile based on the career test questionnaire you just made on www.Careertestpro.com.</p>

<p>The career test that you took is based on the RIASEC Theory of Dr. John Holland. His philosophy is at the root of many other career tests that are used worldwide. This theory is also the most influential in its field on which more than 500 scientific studies are based.</p>

<p>The RIASEC theory is based on six different personality characteristics, being:</p>
";
"11";"0";"text2";"<p>Bovenstaande eigenschappen zullen verderop in de rapportage uitgebreider worden behandeld, zodat je precies weet waar deze voor staan. Het is vaak het geval dat er meerdere persoonlijkheidstypes bij &eacute;&eacute;n persoon passen. Iedereen heeft namelijk wel iets van al van deze eigenschappen in zich.<br />
<br />
De in dit rapport gebruikte methode gaat uit van een samenstelling van &eacute;&eacute;n hoofdtype, met daarnaast twee subtypes die ook op jou van toepassing zijn. Dit hoofdtype wordt samen met de subtypes weer gegeven in een drielettercode bestaande uit de persoonlijkheidstypen, zoals hierboven beschreven. Dit kan bijvoorbeeld RAS zijn (Realistisch hoofdtype, met als subtypes Artistiek en Sociaal) of SOC (Sociaal hoofdtype, met als subtypes Ondernemend en Conventioneel). Hoe beter deze drielettercode past bij de drielettercode van een bepaald beroep, hoe groter de kans dat je succesvol en tevreden functioneert binnen deze betreffende functie. Er moet echter ook rekening gehouden worden met het feit dat mensen zelf hun professionele omgeving be&iuml;nvloeden en zodoende ook tevredenheid kunnen vinden in een beroep dat hen in eerste instantie minder aanspreekt. Het is daarom verstandig om ook beroepen te bekijken en analyseren die wellicht niet direct precies bij jouw code passen, maar wel raakvlakken met elkaar hebben.<br />
<br />
De samenstelling van je profiel is gebaseerd op een aantal factoren die tijdens de vragenlijst die je hebt ingevuld vanuit verschillende invalshoeken zijn bekeken. Door middel van het analyseren van onder andere de activiteiten die jou specifiek aanspreken, je persoonlijk gedrag, werkwaarden en vaardigheden is dit profiel tot stand gekomen.<br />
<br />
Op de volgende pagina&#39;s worden jouw scores weergegeven. Er zal ook uitgebreider ingegaan worden op de verschillende persoonlijkheidstypes.</p>
";"11";;;"<p>These six personality characteristics will be discussed in depth later on in this report, so you get to know in detail what they stand for. It is often the case that there are multiple personality types that fit one person. Everyone has something of all of these characteristic features in their personality.</p>

<p>The method used by Careertestpro is based on a combination of a main personality type and two personality subtypes, that also apply to you. The main personality type and the two subtypes are displayed in a three-letter code. This could for instance be RAE as a three-lettercode, meaning a Realistic main personality type with subtypes Artistic and Enterprising.</p>

<p>The better this three-letter code matches the three-letter code for a particular profession, the greater the chance that you will find success and happiness within this profession. However, one should also take into account the fact that people themselves influence their professional environment, which means they can also find satisfaction in a profession that appealed less to them initially. It is therefore wise to also review and analyze professional occupations that may not directly match your personal three-letter code but have similarities and personal characteristics in common. This is why at the end of this report, you will find all possible combinations of your three-letter code to make sure you get a glance at other occupations that might also fit your personality.</p>

<p>The composition of your profile is based on a number of factors that have been approached from different perspectives during the questionnaire you filled in. Through analyzing the activities that appeal to you, your personal behavior, work values and skillset, the personality profile in this report has been created.&nbsp;</p>

<p>On the next pages in this report your scores are displayed. Furthermore, the different personality types will be discussed in detail.</p>
";
