Date	1	Date	
Footer	2	Careertestpro.com is a product of Making Moves B.V. - Copyright Making Moves B.V	
Value	3	Value	
Enterprising Personality Type	4	Enterprising Personality Type	
Conventional Personality Type	5	Conventional Personality Type	
Social Personal Type	6	Social Personal Type	
Investigative Personality Type	7	Investigative Personality Type	
Realistic Personality Type	8	Realistic Personality Type	
General Information	9	General Information	
Work Environment	10	Work Environment	
Characteristic Traits	11	Characteristic Traits	
Are You?	12	Are You?	
Can You?	13	Can You?	
Like To?	14	Like To?	
Page 1, section 1	15	CAREERTEST REPORT	
Page 1, section 2	16	based on	
Page 1, section 3	17	theory of Dr. John Holland	
Page 2, section 1	18	CONTENT	
Page 2, section 2	19	Participant information	
Page 2, section 3	20	Introduction	
Page 2, section 4	21	Skills	
Page 2, section 5	22	Work values	
Page 2, section 6	23	Activities	
Page 2, section 7	24	Personal behavior	
Page 2, section 8	25	Occupations / Professions	
Page 2, section 9	26	Total Score	
Page 2, section 10	27	Enterpricing Personality Type	
Page 2, section 11	28	Conventional Personality Type	
Page 2, section 12	29	Social Personality Type	
Page 2, section 13	30	Occupation List Highest Scored Personality Type	
Page 2, section 14	31	Three-Letter Code Occupations	
Page 2, section 15	32	Conclusion	
Page 2, section 16	33	What's next?	
Page 3, section 1	34	CAREERTEST REPORT	
Page 3, section 2	35	Participant information	
Page 3, section 3	36	Name	
Page 3, section 4	37	Age	
Page 3, section 5	38	Gender	
Page 3, section 6	39	Test Date	
Page 3, section 7	40	Introduction	
Page 3, section 8	41	In this report an analysis is made of your personality profile and the professions that will fit this profile based on the career test questionnaire you just made on Careertestpro.com.	
Page 3, section 9	42	The career test that you took is based on the RIASEC Theory of Dr.John Holland. His philosophy is at the root of many other career tests that are used worldwide. This theory is also the most influential in its field on which more than 500 scientific studies are based.	
Page 3, section 10	43	The RIASEC theory is based on 6 different personality characteristics, being:	
Page 3, section 11	44	Doers	
Page 3, section 12	45	Thinkers	
Page 3, section 13	46	Creators	
Page 3, section 14	47	Helpers	
Page 3, section 15	48	Persuaders	
Page 3, section 16	49	Organizers	
Page 3, section 17	50	These 6 personality characteristics will be discussed in depth later on in this report, so you get to know in detail what they stand for. It is often the case that there are multiple personality types that fit one person. Everyone has something of all of these characteristic features in their personality.	
Page 3, section 18	51	The method used by Careertestpro is based on a combination of a main personality type and two personality subtypes, that also apply to you. The main personality type and the two subtypes are displayed in a three-letter code. This could for instance be RAE as a three-lettercode, meaning a Realistic main personality type with subtypes Artistic and Enterprising. These 6 personality characteristics will be discussed in depth later on in this report, so you get to know in detail what they stand for. It is often the case that there are multiple personality types that fit one person. Everyone has something of all of these characteristic features in their personality.	
